"E5100A REV3.14"
"DATE: Jun 25 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
6.82750000000E+05	1.553490E+01	-8.970290E+01
6.84618750000E+05	1.557810E+01	-8.979858E+01
6.86487500000E+05	1.562576E+01	-8.977459E+01
6.88356250000E+05	1.566733E+01	-8.978600E+01
6.90225000000E+05	1.570746E+01	-8.978809E+01
6.92093750000E+05	1.574900E+01	-8.978707E+01
6.93962500000E+05	1.578532E+01	-8.976469E+01
6.95831250000E+05	1.581946E+01	-8.968218E+01
6.97700000000E+05	1.588482E+01	-8.978703E+01
6.99568750000E+05	1.592794E+01	-8.977998E+01
7.01437500000E+05	1.593985E+01	-8.968742E+01
7.03306250000E+05	1.601482E+01	-8.973841E+01
7.05175000000E+05	1.605552E+01	-8.973664E+01
7.07043750000E+05	1.609467E+01	-8.974707E+01
7.08912500000E+05	1.613309E+01	-8.975710E+01
7.10781250000E+05	1.618507E+01	-8.981730E+01
7.12650000000E+05	1.622413E+01	-8.979514E+01
7.14518750000E+05	1.627993E+01	-8.972660E+01
7.16387500000E+05	1.629769E+01	-8.978511E+01
7.18256250000E+05	1.634693E+01	-8.972105E+01
7.20125000000E+05	1.639019E+01	-8.975855E+01
7.21993750000E+05	1.642359E+01	-8.979173E+01
7.23862500000E+05	1.648060E+01	-8.968507E+01
7.25731250000E+05	1.650353E+01	-8.970293E+01
7.27600000000E+05	1.656285E+01	-8.972532E+01
7.29468750000E+05	1.659148E+01	-8.979500E+01
7.31337500000E+05	1.665465E+01	-8.973714E+01
7.33206250000E+05	1.668030E+01	-8.974390E+01
7.35075000000E+05	1.672959E+01	-8.976035E+01
7.36943750000E+05	1.675259E+01	-8.970377E+01
7.38812500000E+05	1.679804E+01	-8.978039E+01
7.40681250000E+05	1.686838E+01	-8.975833E+01
7.42550000000E+05	1.691498E+01	-8.971806E+01
7.44418750000E+05	1.692674E+01	-8.979305E+01
7.46287500000E+05	1.697792E+01	-8.977667E+01
7.48156250000E+05	1.701771E+01	-8.978313E+01
7.50025000000E+05	1.705531E+01	-8.977188E+01
7.51893750000E+05	1.712325E+01	-8.979314E+01
7.53762500000E+05	1.715057E+01	-8.975578E+01
7.55631250000E+05	1.719312E+01	-8.979799E+01
7.57500000000E+05	1.722831E+01	-8.977974E+01
7.59368750000E+05	1.727046E+01	-8.973682E+01
7.61237500000E+05	1.730824E+01	-8.975108E+01
7.63106250000E+05	1.736586E+01	-8.971162E+01
7.64975000000E+05	1.740973E+01	-8.981715E+01
7.66843750000E+05	1.743773E+01	-8.975811E+01
7.68712500000E+05	1.748088E+01	-8.977364E+01
7.70581250000E+05	1.752647E+01	-8.979440E+01
7.72450000000E+05	1.755765E+01	-8.976513E+01
7.74318750000E+05	1.761088E+01	-8.975055E+01
7.76187500000E+05	1.764598E+01	-8.981593E+01
7.78056250000E+05	1.771781E+01	-8.975866E+01
7.79925000000E+05	1.775097E+01	-8.979997E+01
7.81793750000E+05	1.777516E+01	-8.980807E+01
7.83662500000E+05	1.780798E+01	-8.975831E+01
7.85531250000E+05	1.785876E+01	-8.981463E+01
7.87400000000E+05	1.789087E+01	-8.976874E+01
7.89268750000E+05	1.795743E+01	-8.979480E+01
7.91137500000E+05	1.800960E+01	-8.972783E+01
7.93006250000E+05	1.805015E+01	-8.984985E+01
7.94875000000E+05	1.808522E+01	-8.978685E+01
7.96743750000E+05	1.812666E+01	-8.976018E+01
7.98612500000E+05	1.816212E+01	-8.979523E+01
8.00481250000E+05	1.822705E+01	-8.978840E+01
8.02350000000E+05	1.825464E+01	-8.979690E+01
8.04218750000E+05	1.830434E+01	-8.981285E+01
8.06087500000E+05	1.833207E+01	-8.985726E+01
8.07956250000E+05	1.837251E+01	-8.979298E+01
8.09825000000E+05	1.841319E+01	-8.981442E+01
8.11693750000E+05	1.846750E+01	-8.982936E+01
8.13562500000E+05	1.851235E+01	-8.978306E+01
8.15431250000E+05	1.856651E+01	-8.973495E+01
8.17300000000E+05	1.858919E+01	-8.980526E+01
